"City","ST","ZIP","A/C","FIPS","County","T/Z","DST?","Lat","Long","Type"
" Copyright (c) 2019 CD Light",," 0619",,," All Rights Reserved -- SAMPLE DATA",,,,,
"Nashville","NC","27856","252","37127","Nash","EST","Y","36.0008","-77.9647",
"Nashville","GA","31639","229","13019","Berrien","EST","Y","31.2271","-83.1916",
"Nashville","TN","37201","615","47037","Davidson","CST","Y","36.1649","-86.7761",
"Nashville","TN","37202","615","47037","Davidson","CST","Y","36.1598","-86.7904","P"
"Nashville","TN","37203","615","47037","Davidson","CST","Y","36.1494","-86.7900",
"Nashville","TN","37204","615","47037","Davidson","CST","Y","36.1067","-86.7746",
"Nashville","TN","37205","615","47037","Davidson","CST","Y","36.1022","-86.8785",
"Nashville","TN","37206","615","47037","Davidson","CST","Y","36.1804","-86.7329",
"Nashville","TN","37207","615","47037","Davidson","CST","Y","36.2387","-86.7800",
"Nashville","TN","37208","615","47037","Davidson","CST","Y","36.1782","-86.8076",
"Nashville","TN","37209","615","47037","Davidson","CST","Y","36.1578","-86.9241",
"Nashville","TN","37210","615","47037","Davidson","CST","Y","36.1439","-86.7334",
"Nashville","TN","37211","615","47037","Davidson","CST","Y","36.0657","-86.7236",
"Nashville","TN","37212","615","47037","Davidson","CST","Y","36.1339","-86.8016",
"Nashville","TN","37213","615","47037","Davidson","CST","Y","36.1644","-86.7674",
"Nashville","TN","37214","615","47037","Davidson","CST","Y","36.1692","-86.6656",
"Nashville","TN","37215","615","47037","Davidson","CST","Y","36.0800","-86.8330",
"Nashville","TN","37216","615","47037","Davidson","CST","Y","36.2168","-86.7257",
"Nashville","TN","37217","615","47037","Davidson","CST","Y","36.1083","-86.6676",
"Nashville","TN","37218","615","47037","Davidson","CST","Y","36.2075","-86.8808",
"Nashville","TN","37219","615","47037","Davidson","CST","Y","36.1672","-86.7840",
"Nashville","TN","37220","615","47037","Davidson","CST","Y","36.0662","-86.7791",
"Nashville","TN","37221","615","47037","Davidson","CST","Y","36.0598","-86.9783",
"Nashville","TN","37222","615","47037","Davidson","CST","Y","36.0693","-86.7259","P"
"Nashville","TN","37224","615","47037","Davidson","CST","Y","36.1502","-86.7925","P"
"Nashville","TN","37227","615","47037","Davidson","CST","Y","36.1322","-86.6715","P"
"Nashville","TN","37228","615","47037","Davidson","CST","Y","36.1957","-86.8081",
"Nashville","TN","37229","615","47037","Davidson","CST","Y","36.1623","-86.7844","P"
"Nashville","TN","37230","615","47037","Davidson","CST","Y","36.1494","-86.7890","P"
"Nashville","TN","37232","615","47037","Davidson","CST","Y","36.1437","-86.8096","U"
"Nashville","TN","37234","615","47037","Davidson","CST","Y","36.1502","-86.7908","U"
"Nashville","TN","37235","615","47037","Davidson","CST","Y","36.1649","-86.7814","U"
"Nashville","TN","37236","615","47037","Davidson","CST","Y","36.1527","-86.8018","U"
"Nashville","TN","37238","615","47037","Davidson","CST","Y","36.1648","-86.7787",
"Nashville","TN","37240","615","47037","Davidson","CST","Y","36.1418","-86.8054","U"
"Nashville","TN","37241","615","47037","Davidson","CST","Y","36.1106","-86.6761","U"
"Nashville","TN","37242","615","47037","Davidson","CST","Y","36.1663","-86.7798","U"
"Nashville","TN","37243","615","47037","Davidson","CST","Y","36.1612","-86.7839","U"
"Nashville","TN","37244","615","47037","Davidson","CST","Y","36.1649","-86.7817","P"
"Nashville","TN","37246","615","47037","Davidson","CST","Y","36.1657","-86.7844","U"
"Nashville","TN","37250","615","47037","Davidson","CST","Y","36.1616","-86.7839","U"
"Nashville","OH","44661","330","39075","Holmes","EST","Y","40.5964","-82.1122","P"
"Nashville","IN","47448","812","18013","Brown","EST","Y","39.1930","-86.2182",
